LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Buenos Aires, Corso – cv 50;Stazione metropolitana;M1 Lima;3;5;2;10;11/05/2013
Buenos Aires, Corso – cv 54 - Ang. Via Ponchielli;Vari;;3;5;1;5;05/06/2012
Buenos Aires, Corso – cv 55;;;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 60  - Lato sx guardando il passo carraio;Vari;;3;5;2;10;05/06/2012
Buenos Aires, Corso – cv 62;;;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 7 – Ang. Via Palazzi;Stazione metropolitana;M1 Porta Venezia;3;5;1;5;11/05/2013
Carnia, Via – Scuola dell'Infanzia;Scuola dell'Infanzia;;3;5;1;5;2013
Conte Rosso, Via – angolo Via Rimembranze di Lambrate;Vari;;3;5;2;10;25/05/2016
Corelli, Via – cv 28;CAM;;3;5;2;10;29/02/2016
Crescenzago, Via – cv 108;Scuola Secondaria di Secondo Grado;MOLINARI;3;5;3;15;23/03/2015
Crescenzago, Via – cv 47;Scuola dell'Infanzia;;3;5;2;10;09/11/2016
Eustachi, Via – cv 8;Pubblico esercizio;Enoteca;3;5;1;5;18/05/2015
Ferravilla,  Piazza – cv 2;Scuola dell'infanzia;Montessori;3;5;2;10;20/07/2016
Giustiniano, Viale ;Vari;;3;5;1;5;03/08/2016
Goldoni , Via – cv 68            Rossello;Scuola Primaria;Rossello;3;5;2;10;28/05/2015
Juvara, Via – cv 22;Uffici Pubblici;ARPA – Regione Lombardia;3;5;2;10;12/08/2016
Leonardo da Vinci, Piazza – Fronte Politecnico, lato Via Bonardi presso semaforo pedonale;Università;Politecnico;3;5;2;10;2013
Leonardo da Vinci, Piazza – Fronte Politecnico, presso civico 32;Università;Politecnico;3;5;2;10;2013
Leonardo da Vinci, Piazza – Presso la scuola;Scuola Primaria;Leonardo da Vinci;3;5;6;30;29/11/2012
Lombardia, Viale – cv 28;Esercizio commerciale;;3;5;2;10;14/11/2016
Maniago, Via – cv 30;Scuola Secondaria di Primo Grado;BUZZATI;3;5;3;15;22/03/2015
Melzo, Via – Fronte biblioteca;Uffici e servizi pubblici - Biblioteca;Biblioteca Venezia;3;5;2;10;03/06/2015
Mille, Viale dei – cv 27, 31, 33;Vari;;3;5;3;15;04/08/2016
Mille, Viale dei – cv 7;Vari;;3;5;2;10;04/08/2016
